selector,descriptor_addr,request_data_length,request_shape,start_callback,completion_callback,effective_session,configured_service_security_count,effective_local_gate,effect_class,persistence,downstream_state,direct_actuation_boundary
0xF1,0x28098,6,F1 JTEKM,0x34B74,0x34B9A,3,0,persistent_BA_authorization,service_lifecycle_mode3_request,none,FEBEB112=5A; FEBEB113=11,no direct conditioned-command/dq/PWM reference in recovered cone
0xF3,0x280A8,6,F3 TMPCL,0x34BA8,0x34BF4,3,0,persistent_BA_authorization + local status,persistent_object5_6_maintenance,"ordinary objects 5,6",runtime groups + object5/6 maintenance,no direct conditioned-command/dq/PWM reference in recovered cone
0xF4,0x280B8,6,F4 JTRM1,0x34C50,0x34C76,3,0,persistent_BA_authorization,service_lifecycle_mode5_request,none,FEBEB112=5A; FEBEB113=22,no direct conditioned-command/dq/PWM reference in recovered cone
0xF5,0x280C8,6,F5 JTRM2,0x34C84,0x34CAA,3,0,persistent_BA_authorization,service_lifecycle_mode6_request,none,FEBEB112=5A; FEBEB113=44,no direct conditioned-command/dq/PWM reference in recovered cone
0xF6,0x280D8,6,F6 BADIS,0x34CB8,0x34D4E,3,0,persistent_BA_authorization,persistent_BA_authorization_disable,ordinary object 24 + redundant object 5,FEBE5F27/28 -> 0/0,no direct conditioned-command/dq/PWM reference in recovered cone
0xF7,0x280E8,6,F7 BAENA,0x34DAE,0x34E6C,3,0,application SecurityAccess level 2,SA2_persistent_BA_authorization_enable,ordinary object 24 + redundant object 5,FEBE5F27=5A; FEBE5F28=30,no direct conditioned-command/dq/PWM reference in recovered cone
0xF8,0x280F8,6,F8 TZCLR,0x34EC0,0x34F08,3,0,persistent_BA_authorization + speed<=0x04B0 + transition/state gates,speed_state_gated_shared_persistent_workflow,shared B7D26 namespace-0x100 workflow,"B7D26(22,2) completion family",no direct conditioned-command/dq/PWM reference in recovered cone
0xF9,0x28108,6,F9 JTRM3,0x34F1A,0x34F40,3,0,persistent_BA_authorization,service_lifecycle_mode7_request,none,FEBEB112=5A; FEBEB113=88,no direct conditioned-command/dq/PWM reference in recovered cone
0xFA,0x28118,6,FA <value> VSPD,0x34F4E,0x34F80,3,0,persistent_BA_authorization + feature flag,alternate_speed_like_snapshot_override,none,FEBEB116=5A; FEBEB117=value -> FEBEB6F6 -> FEBEE894,no direct conditioned-command/dq/PWM reference in recovered cone
0xFB,0x28128,6,FB ASINC,0x34F90,0x34FAA,3,0,persistent_BA_authorization,filtered_operational_inhibit_flag,none,FEBEB118=5A -> B80EE filtered branch,no direct conditioned-command/dq/PWM reference in recovered cone
