rid,start_cb,result_cb,start_size_bytes,result_size_bytes,call_targets,evidence
0x0204,0x4EC16,0x4EC2A,20,28,none,vehicle-speed gate (ld.hu 0x3092[gp]); no recovered persistence path
0x2001,0x4EC46,0x4EC78,20,68,0x4EC68;0xFE04C;0xFE060,result conditionally reaches B47A6 and arms namespace-0x100 object 0x101 persistence
0x2002,0x4ECBC,0x4ECD0,20,76,0x4EC68;0xFDE58,vehicle-speed-gated result reaches B5D0C and arms namespace-0x100 object 0x102 persistence
0x2005,0x4ED2C,0x4ED40,20,54,0x4EC68;0xFE0C4;0xFE2A4,result reaches B55C4 and arms namespace-0x100 object 0x103 persistence
0x2006,0x4ED76,0x4ED8A,20,54,0x4EC68;0xFE0C4;0xFE2A4,result reaches B55C4 and arms namespace-0x100 object 0x103 persistence
0x2007,0x4EDC0,0x4EDD4,20,54,0x4EC68;0xFE0C4;0xFE2A4,result reaches B55C4 and arms namespace-0x100 object 0x103 persistence
0x2008,0x4EE0A,0x4EE1E,20,54,0x4EC68;0xFE0C4;0xFE2A4,result reaches B55C4 and arms namespace-0x100 object 0x103 persistence
0x2009,0x4EE54,0x4EE68,20,54,0x4EC68;0xFE0C4;0xFE2A4,result reaches B55C4 and arms namespace-0x100 object 0x103 persistence
0x200D,0x4EEA6,0x4EEBA,20,54,0x4EC68;0xFE0C4;0xFE2A4,result reaches B55C4 and arms namespace-0x100 object 0x103 persistence
0x2010,0x4EEF0,0x4EF04,20,70,0x4C4A4;0xFE09C,state handoff through B7C0E; no recovered persistence consumer
0x2012,0x4EF4A,0x4EF4E,4,26,0xFDED0,result reaches B28A2; no recovered persistence submission
0x2013,0x4EF68,0x4EF90,40,28,0xFE1C8,result reaches B76A8; no recovered persistence submission
0x2014,0x4EFAC,0x4EFD4,40,42,0xFE1B4,result reaches B71FE; no recovered persistence submission
