signal_id,can_id,secoc_envelope,unpacker,dest,dest_width,direct_ref_count,unpacker_data_sites,unpacker_read_sites,outside_read_sites,default_write_sites,other_direct_refs,consumed_siblings_same_unpacker,alias_scan_lo,alias_scan_hi,outside_param_alias_sites,outside_unpacker_bank_pointer_sites,disposition
62,0x2E4,yes,0x4A244,0xFEBE7F99,1,2,0x4A2D4,,,0x57F86,,5,0xFEBE7F94,0xFEBE7F9D,,,stored-no-direct-consumer
70,0x63B,no,0x4A35A,0xFEBE7FA4,4,2,0x4A39A,,,0x580A8,,1,0xFEBE7FA4,0xFEBE7FA9,,,stored-no-direct-consumer
107,0x191,no,0x4A4BC,0xFEBE7FBD,1,2,0x4A582,,,0x57DA6,,6,0xFEBE7FB7,0xFEBE7FBD,,,stored-no-direct-consumer
115,0x131,yes,0x4A5A2,0xFEBE7FC7,1,2,0x4A664,,,0x57D86,,6,0xFEBE7FBE,0xFEBE7FC7,,,stored-no-direct-consumer
144,0x127,no,0x4A7EC,0xFEBE7FDC,1,2,0x4A82C,,,0x57DC6,,2,0xFEBE7FD8,0xFEBE7FDD,,,stored-no-direct-consumer
173,0x294,no,0x4A91C,0xFEBE7FEE,1,2,0x4A9E0,,,0x57FE0,,8,0xFEBE7FE8,0xFEBE7FF1,,,stored-no-direct-consumer
177,0x294,no,0x4A91C,0xFEBE7FF1,1,2,0x4AA2E,,,0x57FEE,,8,0xFEBE7FE8,0xFEBE7FF1,,,stored-no-direct-consumer
194,0x132,yes,0x4AAE8,0xFEBE8005,1,2,0x4AB5A,,,0x57D4A,,6,0xFEBE7FFA,0xFEBE8006,,,stored-no-direct-consumer
197,0x132,yes,0x4AAE8,0xFEBE8006,1,2,0x4ABAA,,,0x57D46,,6,0xFEBE7FFA,0xFEBE8006,,,stored-no-direct-consumer
231,0xAA,no,0x4AEB8,0xFEBE802A,2,3,0x4AEE0,0x4AEEE,,0x58086,,4,0xFEBE802A,0xFEBE803D,,,local-postprocess
233,0xAA,no,0x4AEB8,0xFEBE802C,2,3,0x4AF0C,0x4AF1A,,0x5808A,,4,0xFEBE802A,0xFEBE803D,,,local-postprocess
235,0xAA,no,0x4AEB8,0xFEBE802E,2,3,0x4AF38,0x4AF46,,0x5808E,,4,0xFEBE802A,0xFEBE803D,,,local-postprocess
237,0xAA,no,0x4AEB8,0xFEBE8030,2,3,0x4AF64,0x4AF72,,0x58092,,4,0xFEBE802A,0xFEBE803D,,,local-postprocess
256,0x13B,no,0x4B122,0xFEBE8050,1,2,0x4B160,,,0x57E62,,4,0xFEBE804F,0xFEBE8059,,,stored-no-direct-consumer
257,0x13B,no,0x4B122,0xFEBE8051,1,2,0x4B178,,,0x57E5E,,4,0xFEBE804F,0xFEBE8059,,,stored-no-direct-consumer
261,0x13B,no,0x4B122,0xFEBE8053,1,2,0x4B1AE,,,0x57E56,,4,0xFEBE804F,0xFEBE8059,,,stored-no-direct-consumer
262,0x13B,no,0x4B122,0xFEBE8054,1,2,0x4B1C8,,,0x57E52,,4,0xFEBE804F,0xFEBE8059,,,stored-no-direct-consumer
263,0x13B,no,0x4B122,0xFEBE8055,1,2,0x4B1E2,,,0x57E4E,,4,0xFEBE804F,0xFEBE8059,,,stored-no-direct-consumer
270,0x90,yes,0x4B23C,0xFEBE805A,2,3,0x4B298,0x4B2A6,,0x581D0,,6,0xFEBE805A,0xFEBE806C,,,local-postprocess
273,0x90,yes,0x4B23C,0xFEBE805C,2,3,0x4B2F8,0x4B306,,0x581D8,,6,0xFEBE805A,0xFEBE806C,,,local-postprocess
276,0x90,yes,0x4B23C,0xFEBE805E,2,3,0x4B358,0x4B366,,0x57E32,,6,0xFEBE805A,0xFEBE806C,,,local-postprocess
278,0x90,yes,0x4B23C,0xFEBE806C,1,2,0x4B382,,,0x57E22,,6,0xFEBE805A,0xFEBE806C,,,stored-no-direct-consumer
286,0xD7,yes,0x4B3AA,0xFEBE8079,1,2,0x4B440,,,0x57E0E,,4,0xFEBE8070,0xFEBE8079,,,stored-no-direct-consumer
291,0x20,no,0x4B4D6,0xFEBE8084,1,2,0x4B4FA,,,0x57DFA,,0,0xFEBE8082,0xFEBE8084,,,stored-no-direct-consumer
292,0x20,no,0x4B4D6,0xFEBE8082,2,2,0x4B51A,,,0x57DF6,,0,0xFEBE8082,0xFEBE8084,,,stored-no-direct-consumer
