row_kind,rx_pdu_id,acceptance_index,can_id,can_format,frame_length,com_length,timeout_ticks,com_flags,com_buf_off,com_buf_ram,acceptance_filter_route,rx_callback,unpacker,validity_state_ram,update_counter_ram,pdu_first_consumer,secoc_envelope,signal_id,signal_property,wire_field,endianness,bit_length,start_arg,signed,dest_kind,dest,dest_width,signal_update_state,first_consumer,evidence_status,call_site,notes
signal,6,0,0x2E4,classic,8,8,15,0x0C,39,0xFEBE4A70,rule[0] hw_label=9 route=2,0x7C640,0x4A244,0xFEBE52D2,0xFEBE5332,0x4A244,yes,58,0,B0[7],big,1,7,0,ram,0xFEBE7F96,1,shares PDU update counter 0xFEBE5332,0x56FC2,recovered,0x4A290,extract=bitfield; buf_off=39; evidence_window=0x4A250-0x4A290; body_sha256=f0f4d7ae539cb22b…
signal,6,0,0x2E4,classic,8,8,15,0x0C,39,0xFEBE4A70,rule[0] hw_label=9 route=2,0x7C640,0x4A244,0xFEBE52D2,0xFEBE5332,0x4A244,yes,59,0,B0[6:1],big,6,1,0,ram,0xFEBE7F97,1,shares PDU update counter 0xFEBE5332,0x56FC2,recovered,0x4A2AA,extract=bitfield; buf_off=39; evidence_window=0x4A26A-0x4A2AA; body_sha256=f0f4d7ae539cb22b…
signal,6,0,0x2E4,classic,8,8,15,0x0C,39,0xFEBE4A70,rule[0] hw_label=9 route=2,0x7C640,0x4A244,0xFEBE52D2,0xFEBE5332,0x4A244,yes,60,0,B0[0],big,1,0,0,ram,0xFEBE7F98,1,shares PDU update counter 0xFEBE5332,0x56FC2,recovered,0x4A2C4,extract=bitfield; buf_off=39; evidence_window=0x4A284-0x4A2C4; body_sha256=f0f4d7ae539cb22b…
signal,6,0,0x2E4,classic,8,8,15,0x0C,39,0xFEBE4A70,rule[0] hw_label=9 route=2,0x7C640,0x4A244,0xFEBE52D2,0xFEBE5332,0x4A244,yes,61,0,B1..B2 BE16,big,16,0,1,ram,0xFEBE7F94,2,shares PDU update counter 0xFEBE5332,0x56FC2,recovered,0x4A276,extract=bitfield; buf_off=40; evidence_window=0x4A244-0x4A276; body_sha256=f0f4d7ae539cb22b…
signal,6,0,0x2E4,classic,8,8,15,0x0C,39,0xFEBE4A70,rule[0] hw_label=9 route=2,0x7C640,0x4A244,0xFEBE52D2,0xFEBE5332,0x4A244,yes,62,0,B3[7],big,1,7,0,ram,0xFEBE7F99,1,shares PDU update counter 0xFEBE5332,configured-unresolved; bound=Ghidra READ xref of dest excluding COM unpacker cluster 0x4A200-0x4B700,recovered,0x4A2DE,extract=bitfield; buf_off=42; evidence_window=0x4A29E-0x4A2DE; body_sha256=f0f4d7ae539cb22b…
signal,6,0,0x2E4,classic,8,8,15,0x0C,39,0xFEBE4A70,rule[0] hw_label=9 route=2,0x7C640,0x4A244,0xFEBE52D2,0xFEBE5332,0x4A244,yes,63,0,B3[2:0],big,3,0,0,ram,0xFEBE7F9D,1,shares PDU update counter 0xFEBE5332,0x56FC2,recovered,0x4A2F8,extract=bitfield; buf_off=42; evidence_window=0x4A2B8-0x4A2F8; body_sha256=f0f4d7ae539cb22b…
signal,6,0,0x2E4,classic,8,8,15,0x0C,39,0xFEBE4A70,rule[0] hw_label=9 route=2,0x7C640,0x4A244,0xFEBE52D2,0xFEBE5332,0x4A244,yes,64,0,n/a (no stock COM extraction),n/a,n/a,n/a,n/a,none,none,0,shares PDU update counter 0xFEBE5332,none as configured COM signal; PDU handler extracts other signal IDs,classified-no-com-extraction,,"classification=configured_not_extracted_by_pdu_handler; basis=same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
signal,6,0,0x2E4,classic,8,8,15,0x0C,39,0xFEBE4A70,rule[0] hw_label=9 route=2,0x7C640,0x4A244,0xFEBE52D2,0xFEBE5332,0x4A244,yes,65,0,n/a (no stock COM extraction),n/a,n/a,n/a,n/a,none,none,0,shares PDU update counter 0xFEBE5332,none as configured COM signal; PDU handler extracts other signal IDs,classified-no-com-extraction,,"classification=configured_not_extracted_by_pdu_handler; basis=same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
signal,7,1,0x3B0,classic,8,8,600,0x0C,47,0xFEBE4A78,rule[1] hw_label=10 route=2,0x7C640,0x4A312,0xFEBE52D3,0xFEBE5333,0x4A312,no,66,0,B3,big,8,0,0,ram,0xFEBE7F9E,1,shares PDU update counter 0xFEBE5333,0x56FC2,recovered,0x4A340,extract=bitfield; buf_off=50; evidence_window=0x4A312-0x4A340; body_sha256=853fa98ad28fa579…
signal,8,2,0x63B,classic,8,8,300,0x0C,55,0xFEBE4A80,rule[2] hw_label=11 route=2,0x7C640,0x4A35A,0xFEBE52D4,0xFEBE5334,0x4A35A,no,67,0,n/a (no stock COM extraction),n/a,n/a,n/a,n/a,none,none,0,shares PDU update counter 0xFEBE5334,none as configured COM signal; PDU handler extracts other signal IDs,classified-no-com-extraction,,"classification=configured_not_extracted_by_pdu_handler; basis=same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
