signal_id,extract_kind,unpacker,body_size,body_sha256,call_site,buf_off,bit_len,start_arg,signed,dest,dest_width,first_consumer,window_lo,window_hi,classification,classification_basis
58,bitfield,0x4A244,202,f0f4d7ae539cb22be9bc3411a109f03a217d1c4dc1bf7096e5d41313731a20ce,0x4A290,39,1,7,0,0xFEBE7F96,1,0x56FC2,0x4A250,0x4A290,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
59,bitfield,0x4A244,202,f0f4d7ae539cb22be9bc3411a109f03a217d1c4dc1bf7096e5d41313731a20ce,0x4A2AA,39,6,1,0,0xFEBE7F97,1,0x56FC2,0x4A26A,0x4A2AA,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
60,bitfield,0x4A244,202,f0f4d7ae539cb22be9bc3411a109f03a217d1c4dc1bf7096e5d41313731a20ce,0x4A2C4,39,1,0,0,0xFEBE7F98,1,0x56FC2,0x4A284,0x4A2C4,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
61,bitfield,0x4A244,202,f0f4d7ae539cb22be9bc3411a109f03a217d1c4dc1bf7096e5d41313731a20ce,0x4A276,40,16,0,1,0xFEBE7F94,2,0x56FC2,0x4A244,0x4A276,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
62,bitfield,0x4A244,202,f0f4d7ae539cb22be9bc3411a109f03a217d1c4dc1bf7096e5d41313731a20ce,0x4A2DE,42,1,7,0,0xFEBE7F99,1,configured-unresolved; bound=Ghidra READ xref of dest excluding COM unpacker cluster 0x4A200-0x4B700,0x4A29E,0x4A2DE,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
63,bitfield,0x4A244,202,f0f4d7ae539cb22be9bc3411a109f03a217d1c4dc1bf7096e5d41313731a20ce,0x4A2F8,42,3,0,0,0xFEBE7F9D,1,0x56FC2,0x4A2B8,0x4A2F8,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
64,none,0x0,0,none,0x0,39,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x22564,0x22566,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
65,none,0x0,0,none,0x0,39,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x22566,0x22568,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
66,bitfield,0x4A312,68,853fa98ad28fa579ad9694673c173064cb4ecb3d66be81f290d36349d46c70bb,0x4A340,50,8,0,0,0xFEBE7F9E,1,0x56FC2,0x4A312,0x4A340,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
67,none,0x0,0,none,0x0,55,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x2256A,0x2256C,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
68,none,0x0,0,none,0x0,55,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x2256C,0x2256E,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
69,bitfield,0x4A35A,98,c86ec4f4b1d1b81f112ebf7eb41f561c3af9c92a6d15e28ddaefbfc34dd27b1d,0x4A38A,57,16,0,0,0xFEBE7FA8,2,0x56FC2,0x4A35A,0x4A38A,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
70,bitfield,0x4A35A,98,c86ec4f4b1d1b81f112ebf7eb41f561c3af9c92a6d15e28ddaefbfc34dd27b1d,0x4A3A6,59,32,0,0,0xFEBE7FA4,4,configured-unresolved; bound=Ghidra READ xref of dest excluding COM unpacker cluster 0x4A200-0x4B700,0x4A366,0x4A3A6,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
71,none,0x0,0,none,0x0,63,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x22572,0x22574,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
72,none,0x0,0,none,0x0,63,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x22574,0x22576,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
73,bitfield,0x4A3C0,146,2db936c29f761d047de884d19b2be76d4600d8fda6794f66f6379f413df5c3f6,0x4A3EE,65,8,0,0,0xFEBE7FAC,1,0x56FC2,0x4A3C0,0x4A3EE,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
74,bitfield,0x4A3C0,146,2db936c29f761d047de884d19b2be76d4600d8fda6794f66f6379f413df5c3f6,0x4A408,66,4,4,0,0xFEBE7FAD,1,0x56FC2,0x4A3C8,0x4A408,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
75,bitfield,0x4A3C0,146,2db936c29f761d047de884d19b2be76d4600d8fda6794f66f6379f413df5c3f6,0x4A422,66,4,0,0,0xFEBE7FAE,1,0x56FC2,0x4A3E2,0x4A422,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
76,bitfield,0x4A3C0,146,2db936c29f761d047de884d19b2be76d4600d8fda6794f66f6379f413df5c3f6,0x4A43C,67,4,4,0,0xFEBE7FAF,1,0x56FC2,0x4A3FC,0x4A43C,extracted_bitfield,direct application_com_receive_signal call with recoverable immediate signal/offset/width/destination arguments
77,none,0x0,0,none,0x0,63,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x2257E,0x22580,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
78,none,0x0,0,none,0x0,63,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x22580,0x22582,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
79,none,0x0,0,none,0x0,63,0,0,0,none,0,none as configured COM signal; PDU handler extracts other signal IDs,0x22582,0x22584,configured_not_extracted_by_pdu_handler,"same PDU has recovered generated extraction calls, but this configured signal ID is absent from the complete receive-signal/group-byte API census"
