tx_pdu_id,can_id,message_name,length,cycle_ticks,signal_id,wire_field,source_kind,source,static_role,packer
0,0x260,STEER_TORQUE_SENSOR,8,4,0,B0[7],ram,0xFEBE8094,constant-clear in recovered producer graph; public DBC location STEER_OVERRIDE,0x4BCEE
0,0x260,STEER_TORQUE_SENSOR,8,4,1,B0[4],ram,0xFEBE8096,composite initialization/validity flag; public DBC STEER_ANGLE_INITIALIZING,0x4BCEE
0,0x260,STEER_TORQUE_SENSOR,8,4,2,B0[3],ram,0xFEBE8098,debounced steering-control consistency status,0x4BCEE
0,0x260,STEER_TORQUE_SENSOR,8,4,3,B0[2],ram,0xFEBE8099,operational-mode/status inhibit A,0x4BCEE
0,0x260,STEER_TORQUE_SENSOR,8,4,4,B0[1],ram,0xFEBE809A,operational-mode/status inhibit B,0x4BCEE
0,0x260,STEER_TORQUE_SENSOR,8,4,5,B0[0],ram,0xFEBE809B,thresholded motor-feedback magnitude status,0x4BCEE
0,0x260,STEER_TORQUE_SENSOR,8,4,6,B1..B2 BE16,ram,0xFEBE810A,scaled/clamped sensor torque; public DBC STEER_TORQUE_DRIVER,0x4BCEE
0,0x260,STEER_TORQUE_SENSOR,8,4,7,B3..B4 BE16,ram,0xFEBE810E,saturated signed steering-control estimate; public DBC STEER_ANGLE,0x4BCEE
0,0x260,STEER_TORQUE_SENSOR,8,4,8,B5..B6 BE16,ram,0xFEBE8110,scaled motor-feedback torque estimate; public DBC STEER_TORQUE_EPS,0x4BCEE
0,0x260,STEER_TORQUE_SENSOR,8,4,9,B7,canif_checksum,0x7FEAC,Toyota additive checksum: post-packer CanIf callback sums CAN-ID bytes + DLC + payload[0:-1] into final byte,0x4BCEE
1,0x262,EPS_STATUS,8,8,10,B0[7],ram,0xFEBE809C,unresolved status bit,0x4BE24
1,0x262,EPS_STATUS,8,8,11,B0[6],ram,0xFEBE80B4,unresolved status bit,0x4BE24
1,0x262,EPS_STATUS,8,8,12,B0[5],ram,0xFEBE809D,unresolved status bit,0x4BE24
1,0x262,EPS_STATUS,8,8,13,B0[4],constant,0,constant zero,0x4BE24
