address,name,calling_convention,parameter_count,normalized_c_sha256
00006fec,security_access_derive_stage1_key,__stdcall,0,feba857b6f6dbf37a4879f7b4f7997a5e0c8f3b6a3a6d1ae82122e9c62c3b832
00007068,payload_build_derive_key,__stdcall,0,f37a1da3b6a599e3f5f8f7b53dfdabb3559725afae9ab53000618f1318292a3d
0000704c,security_access_compute_expected_key,__stdcall,0,eed641299f66675a6bf66ea4f62ae3c09d07428c7484f593d2b44cf11bc8f066
000650ac,application_icus_ch292_isr,__interrupt,0,aa5b3144c73248640f31fc72679f96d1964ddf9077404f753672cf43b58c24ef
000650ee,application_icus_ch293_isr,__interrupt,0,4461440e44929f25b005d4ddd4e6c40b5c58b86e7fd85c835b57ef9903c8da32
00087610,icus_interrupt_channel292_dispatch,__stdcall,0,549370e3ad8bf25e16c0dcf7b3213ce70c27593013ead671ae51e07017c42785
0000614a,uds_diagnostic_session_control,__stdcall,0,3149293ad16db435945c3e8061b0da09e1a7c8e6a84c790fb6c0fa9d96cb7650
000001b0,boot_reset_startup,__stdcall,0,8876e638f28fc55b31f5bb86c5930d8e4a264ed46292009ed2a77138f2653016
0004c960,application_programming_handoff_prerequisites,__stdcall,0,5b52fae2f17720dec1a4dd858a02612002c266c8ca8a6917fc58805f7cb04e8b
000053f2,uds_security_access_send_key,__stdcall,0,8971e1a6067c87abea9b44f8afa15c85dff95a65a5642b1f768e1821590d98e0
00005d68,uds_request_download,__stdcall,0,335d49f17612ef5b830f54915bba722070f41ea132fd8ee7eb7a9b7549d358b4
00065cd8,secoc_nvm_object_update,__stdcall,0,a7e39beed3b8f48a991eb1777d2f1d52fa3d271f3aa5becbc470a6a6d63d3564
0008b1f0,application_ecu_reset_callback,__stdcall,0,21b85e29f3aa2967665dfec26e96f4a2d0fce2a739351761081ad0b3290cd058
00094a72,application_security_access_send_key,__stdcall,0,9c5de480a06b50c78ab5234f56ec84f2d7e4f94f464f244c65e26781aa7fa59d
