region,topology_group_key,shape_sha256,component_hex,component_index,ecu_domain,bus_index,bus_name,gateway_names,junction_name
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x0C,12,ITS Connect,29,Bus 1,Central Gateway,No. 23 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x0F,15,Front Radar,29,Bus 1,Central Gateway,No. 3 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x10,16,Front Side Radar Master,29,Bus 1,Central Gateway,No. 3 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x41,65,Blind Spot Monitor Master,29,Bus 1,Central Gateway,No. 16 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x67,103,Clearance Warning (Intuitive Parking Assist),29,Bus 1,Central Gateway,No. 16 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x68,104,Parking Assist Monitor System / Rear Camera,29,Bus 1,Central Gateway,No. 20 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x6D,109,Front Camera Module,29,Bus 1,Central Gateway,FRD
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x7B,123,Panoramic View Monitor / Circumference Monitoring Camera Control Module,29,Bus 1,Central Gateway,No. 17 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x09,9,Motor Generator,30,Bus 2,Central Gateway,No. 5 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x0A,10,Rear Motor Generator,30,Bus 2,Central Gateway,No. 6 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x11,17,Plug-in Control,30,Bus 2,Central Gateway,MGC
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x16,22,Hybrid Vehicle Control,30,Bus 2,Central Gateway,No. 5 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x1C,28,Transmission Control,30,Bus 2,Central Gateway,No. 5 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0xD5,213,HV Battery,30,Bus 2,Central Gateway,No. 4 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0xD9,217,DC Quick Charging Control2,30,Bus 2,Central Gateway,MGC
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x61,97,Display and Navigation (AVN),31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x62,98,Combination Meter,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
NA,0x004DD234,55ff4f2fa383154ea55bbac864b3ae9c589576bb7184b3fd1beb16963b7055bd,0x6B,107,Digital Rear-View Mirror,31,Bus 3,Central Gateway,No. 10 Global CAN Junction Connector
