region,vehicle_id,vehicle_name,install_set_id,install_set_id_hex,architecture_label,selected_category_ids
NA,11310,TEST,3938,0x0F62,FRC,498
NA,12165,MAC,6503,0x1967,EMPS+LDA+FRCAM+ABS+BRKBST+ADS+ADeU+FRC+EMPS2,405 418 430 435 466 476 477 498 499
NA,12310,MAC,6938,0x1B1A,EMPS+LDA+FRCAM+ABS+BRKBST+ADS+ADeU+FRC+EMPS2,405 418 430 435 466 476 477 498 499
NA,12378,Sienna HV,7142,0x1BE6,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12385,NX250,7163,0x1BFB,EMPS+ABS+FRC,405 435 498
NA,12386,NX350,7166,0x1BFE,EMPS+ABS+FRC,405 435 498
NA,12387,NX350h,7169,0x1C01,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12388,NX450h+,7172,0x1C04,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12418,GR Corolla,7262,0x1C5E,EMPS+ABS+FRC,405 435 498
NA,12468,bZ4X,7412,0x1CF4,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12469,NX250,7415,0x1CF7,EMPS+ABS+FRC,405 435 498
NA,12470,NX350,7418,0x1CFA,EMPS+ABS+FRC,405 435 498
NA,12471,NX350h,7421,0x1CFD,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12491,RX350,7481,0x1D39,EMPS+ABS+FRC,405 435 498
NA,12492,RX350h,7484,0x1D3C,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12493,RX500h,7487,0x1D3F,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12494,RX450h+,7490,0x1D42,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12495,RX350h,7493,0x1D45,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12496,RX500h,7496,0x1D48,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12497,CROWN HEV,7499,0x1D4B,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12498,CROWN HEV,7502,0x1D4E,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12499,RX350,7505,0x1D51,EMPS+ABS+FRC,405 435 498
NA,12500,RZ450e,7508,0x1D54,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12512,Corolla,7544,0x1D78,EMPS+ABS+FRC,405 435 498
NA,12513,Corolla,7547,0x1D7B,EMPS+ABS+FRC,405 435 498
NA,12514,Corolla HV,7550,0x1D7E,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12515,Corolla HV,7553,0x1D81,EMPS+ABS+BRKBST+FRC,405 435 466 498
NA,12516,Corolla,7556,0x1D84,EMPS+ABS+FRC,405 435 498
NA,12538,NX250,7622,0x1DC6,EMPS+ABS+FRC,405 435 498
NA,12539,NX350,7625,0x1DC9,EMPS+ABS+FRC,405 435 498
NA,12540,NX350h,7628,0x1DCC,EMPS+ABS+BRKBST+FRC,405 435 466 498
