surface,selector,declared_response_bytes,producer,producer_writes_declared,criterion,evidence_grade,note
application_rdbi,0x0100,32,0x0004e99e,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x0101,32,0x0004e98e,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x0102,7,0x0004cbfc,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x0103,4,0x0004cc76,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x0105,12,0x0004ccc4,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x0109,6,0x0004cd38,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x010B,16,0x0004cd74,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x0110,4,0x0004cdd4,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x0111,4,0x0004cdfc,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x0112,4,0x0004ce00,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x0200,32,0x0004e9b6,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x0204,2,0x0004ce26,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1000,32,0x0004e9ce,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1031,2,0x0004ce44,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1032,2,0x0004ce76,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1033,1,0x0004cea0,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1034,2,0x0004cec6,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1035,2,0x0004cef8,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1036,2,0x0004cf44,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1037,2,0x0004cf80,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1038,1,0x0004cfae,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1039,2,0x0004cec6,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1061,2,0x0004cfbe,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1062,2,0x0004cff0,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1063,2,0x0004d022,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1064,1,0x0004d05e,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1065,1,0x0004d084,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1066,1,0x0004d0b0,False,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
application_rdbi,0x1067,2,0x0004cfbe,True,"producer is four-byte success stub (mov 0,r10; jmp lp)",verified (matches DIAG stale-response census),
