entry_addr,function_bytes,caller_count,callee_count,indirect_reference_count,ram_ref_count,ram_read_ref_count,ram_write_ref_count,mmio_ref_count,codeflash_data_ref_count,string_ref_count,root_kind,review_state,score_size_norm,score_callers_norm,score_callees_norm,score_indirect_norm,score_ram_norm,score_ram_rw_density_norm,score_mmio_norm,score_codeflash_data_norm,score_strings_norm,score_unreviewed_norm,final_score,rank,scalar_top_n,strata,selected_for_sweep,selection_date,review_date,review_result
0x00000030,8,0,0,3,0,0,0,0,0,0,interrupt,reviewed_unknown,0.232152,0.000000,0.000000,0.234003,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.124548,5504,false,isr-rooted,true,2026-08-11,2026-08-11,Selected rank 5215 (isr-rooted); decompiled successfully; exact semantics not independently established
0x000001b0,66,0,0,0,0,0,0,0,0,0,,semantically_identified,0.444255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.079966,6375,false,,false,,2026-08-11,Reset entry and initialization role deterministically asserted
0x000001f2,1360,0,1,0,2,0,2,3,1,0,,unreviewed,0.762418,0.000000,0.118154,0.000000,0.136890,0.004071,0.252562,0.164272,0.000000,1.000000,0.248765,770,false,,false,,,
0x00000748,12,0,0,0,0,0,0,0,0,0,,unreviewed,0.271005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.098781,5698,false,,false,,,
0x00000770,16,1,2,0,0,0,0,0,0,0,,unreviewed,0.299349,0.155611,0.187270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.138171,5056,false,,false,,,
0x00000780,12,1,1,0,0,0,0,0,0,0,,unreviewed,0.271005,0.155611,0.118154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.126157,5401,false,,false,,,
0x0000078c,12,1,1,0,0,0,0,0,0,0,,unreviewed,0.271005,0.155611,0.118154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.126157,5402,false,,false,,,
0x00000798,2,1,0,0,0,0,0,0,0,0,,unreviewed,0.116076,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.086455,5803,false,,false,,,
0x0000079a,28,1,0,0,0,0,0,0,0,0,,unreviewed,0.355778,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.129601,5313,false,,false,,,
0x000007b6,76,1,0,0,0,0,0,0,1,0,,unreviewed,0.458953,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.164272,0.000000,1.000000,0.158029,4296,false,,false,,,
0x00000802,126,1,0,0,0,0,0,0,1,0,,unreviewed,0.511822,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.164272,0.000000,1.000000,0.167545,3825,false,,false,,,
0x00000880,72,1,0,0,0,0,0,0,1,0,,unreviewed,0.453317,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.164272,0.000000,1.000000,0.157014,4323,false,,false,,,
0x000008c8,166,1,0,0,0,0,0,0,1,0,,unreviewed,0.540751,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.164272,0.000000,1.000000,0.172753,3599,false,,false,,,
0x0000096e,740,1,0,0,0,0,0,0,1,0,,unreviewed,0.698181,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.164272,0.000000,1.000000,0.201090,2387,false,,false,,,
0x00000c52,72,1,0,0,0,0,0,0,1,0,,unreviewed,0.453317,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.164272,0.000000,1.000000,0.157014,4324,false,,false,,,
0x00000c9a,442,1,0,0,0,0,0,2,33,0,,reviewed_unknown,0.643828,0.155611,0.000000,0.000000,0.000000,0.000000,0.200150,0.835728,0.000000,1.000000,0.247606,803,false,table-heavy,true,2026-08-11,2026-08-11,Selected rank 803 (table-heavy); decompiled successfully; exact semantics not independently established
0x00000e54,300,1,0,0,18,0,18,5,0,0,,unreviewed,0.602996,0.155611,0.000000,0.000000,0.366885,0.161404,0.326431,0.000000,0.000000,1.000000,0.270947,357,false,,false,,,
0x00000f80,324,1,0,0,0,0,0,15,0,0,,unreviewed,0.611101,0.155611,0.000000,0.000000,0.000000,0.000000,0.505123,0.000000,0.000000,1.000000,0.215969,1843,false,,false,,,
0x000010c4,2,1,0,0,0,0,0,0,0,0,,unreviewed,0.116076,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.086455,5804,false,,false,,,
0x000010c6,148,1,1,0,0,0,0,4,0,0,,unreviewed,0.528702,0.155611,0.118154,0.000000,0.000000,0.000000,0.293215,0.000000,0.000000,1.000000,0.196000,2589,false,,false,,,
0x0000115a,68,1,0,0,0,0,0,3,1,0,,unreviewed,0.447363,0.155611,0.000000,0.000000,0.000000,0.000000,0.252562,0.164272,0.000000,1.000000,0.176148,3447,false,,false,,,
0x0000119e,104,1,3,0,0,0,0,0,2,0,,unreviewed,0.491723,0.155611,0.236308,0.000000,0.000000,0.000000,0.000000,0.260365,0.000000,1.000000,0.193324,2695,false,,false,,,
0x00001206,20,1,0,0,0,0,0,0,0,0,,unreviewed,0.321675,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.123463,5511,false,,false,,,
0x0000121a,14,1,0,0,0,0,0,0,0,0,,unreviewed,0.286124,0.155611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.117064,5605,false,,false,,,
0x00001228,272,1,0,0,0,0,0,18,0,0,,unreviewed,0.592680,0.155611,0.000000,0.000000,0.000000,0.000000,0.536431,0.000000,0.000000,1.000000,0.215158,1870,false,,false,,,
