target_addr,decoded_instruction_count,decoded_byte_count,run_start,run_end,incoming_call_refs,incoming_data_refs,incoming_computed_refs,source_pointer_addrs,source_function_entries,starts_at_instruction_boundary,starts_with_prepare,contains_dispose,terminating_flow_count,overlaps_defined_data,overlaps_existing_function,candidate_class,adjudication_state
0x00000750,6,16,0x00000750,0x0000076f,0,0,0,,,true,false,true,1,false,true,orphan-decoded-run,unresolved
0x0000075c,11,26,0x00000750,0x0000076f,0,1,0,,0x0003704a,true,false,true,1,false,true,pointer-referenced-code-run,unresolved
0x00000766,3,10,0x00000766,0x0000076f,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00001e28,1,2,0x00001e28,0x00001e29,0,2,0,,0x0000369c;0x00077b20,true,false,false,0,false,true,pointer-referenced-code-run,unresolved
0x00003152,18,50,0x00003152,0x0000318b,0,1,0,,,true,false,true,1,false,false,pointer-referenced-code-run,unresolved
0x00003166,12,38,0x00003166,0x0000318b,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00003188,1,4,0x00003188,0x0000318b,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00003200,2,6,0x00003200,0x0000320b,0,39,0,,0x000bc5bc;0x000c8d2e,true,false,true,1,false,false,pointer-referenced-code-run,unresolved
0x00003208,1,4,0x00003208,0x0000320b,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x000032a0,19,50,0x000032a0,0x000032d1,0,3,0,0x000086e0;0x00008904,,true,true,true,1,false,false,pointer-referenced-code-run,unresolved
0x000032ac,15,38,0x000032ac,0x000032d1,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x000032c8,15,38,0x000032ac,0x000032d1,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x000032ce,1,4,0x000032ce,0x000032d1,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00004000,2,4,0x00004000,0x00004003,0,192,0,,0x000007b6;0x00000802;0x00000880;0x000008c8;0x0000096e;0x00033198;0x00038f42;0x0003bfd8;0x00056234;0x000562de;0x000563a8;0x00056942;0x000569a8;0x00058404;0x00065166;0x00065246;0x000782de;0x000bbd24;0x000cb0a4,true,false,false,0,false,true,pointer-referenced-code-run,unresolved
0x00004ade,1,4,0x00004ade,0x00004ae1,0,0,0,,0x00004a9a,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00004c80,3,8,0x00004c80,0x00004c87,0,1,0,,,true,false,false,0,false,true,pointer-referenced-code-run,unresolved
0x00005400,94,278,0x00005400,0x00005515,0,1,0,,,true,false,true,1,false,false,pointer-referenced-code-run,unresolved
0x00005428,4,14,0x00005428,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x0000542e,22,70,0x00005428,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x0000544c,14,40,0x00005428,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x0000545e,62,182,0x00005428,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x0000546e,57,166,0x00005428,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00005480,57,166,0x00005428,0x00005515,0,1,0,,,true,false,true,1,false,false,pointer-referenced-code-run,unresolved
0x0000548e,29,90,0x00005428,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x000054b6,13,38,0x00005428,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x000054c6,7,22,0x00005428,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x000054ce,8,26,0x00005428,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x000054da,17,52,0x000054da,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x000054e6,13,40,0x000054e6,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00005500,4,14,0x00005500,0x00005515,0,1,0,,,true,false,true,1,false,false,pointer-referenced-code-run,unresolved
0x00005506,6,20,0x00005428,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x0000550c,3,10,0x0000550c,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x0000550e,2,8,0x0000550e,0x00005515,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00005bfe,1,4,0x00005bfe,0x00005c01,0,0,0,,0x00005b70,true,false,false,0,false,true,orphan-decoded-run,unresolved
0x00005c00,1,2,0x00005c00,0x00005c01,0,1,0,,,true,false,false,0,false,true,pointer-referenced-code-run,unresolved
0x00005c80,1,2,0x00005c80,0x00005c81,0,1,0,,,true,false,false,1,false,false,pointer-referenced-code-run,unresolved
0x00006000,50,130,0x00006000,0x00006081,0,2,0,,0x0003bfd8;0x0006fb50,true,false,true,1,false,true,pointer-referenced-code-run,unresolved
0x00006038,25,68,0x00006038,0x00006081,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00006048,22,58,0x00006048,0x00006081,0,0,0,,,true,false,true,1,false,true,orphan-decoded-run,unresolved
0x0000604e,19,52,0x0000604e,0x00006081,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00006056,3,10,0x00006056,0x00006081,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x0000605c,16,44,0x00006056,0x00006081,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00006066,12,34,0x00006056,0x00006081,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00006070,8,24,0x00006056,0x00006081,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x0000607a,2,8,0x0000607a,0x00006081,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x0000607e,1,4,0x0000607e,0x00006081,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00006dec,12,28,0x00006dec,0x00006e07,0,0,0,,,true,false,false,1,false,false,orphan-decoded-run,unresolved
0x00006e00,12,28,0x00006dec,0x00006e07,0,2,0,,,true,false,false,1,false,false,pointer-referenced-code-run,unresolved
0x00008378,13,34,0x00008378,0x00008399,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00008380,13,34,0x00008378,0x00008399,0,5,0,,0x000628ee;0x00062af2;0x00062bc6,true,false,true,1,false,false,pointer-referenced-code-run,unresolved
0x00008390,3,10,0x00008390,0x00008399,0,0,0,,,true,false,true,1,false,false,orphan-decoded-run,unresolved
0x00008792,4,8,0x00008792,0x00008799,0,1,0,,0x00003aba,true,false,false,1,false,false,pointer-referenced-code-run,unresolved
0x00018460,15,38,0x00018460,0x00018485,0,1,0,,0x000377ce,true,false,false,1,false,false,pointer-referenced-code-run,unresolved
0x0001a4dc,2,6,0x0001a4dc,0x0001a4e1,0,1,0,,0x000b744e,true,false,true,1,false,false,pointer-referenced-code-run,unresolved
0x0001a5c8,5,10,0x0001a5c8,0x0001a5d1,0,5,0,,0x000bf376;0x000bf600,true,false,false,1,false,false,pointer-referenced-code-run,unresolved
0x0001a60c,5,10,0x0001a60c,0x0001a615,0,5,0,,0x000bf376;0x000bf600,true,false,false,1,false,false,pointer-referenced-code-run,unresolved
0x0001a650,5,10,0x0001a650,0x0001a659,0,1,0,,,true,false,false,1,false,false,pointer-referenced-code-run,unresolved
0x0001a7e8,5,10,0x0001a7e8,0x0001a7f1,0,1,0,,,true,false,false,1,false,false,pointer-referenced-code-run,unresolved
0x0001a82c,5,10,0x0001a82c,0x0001a835,0,1,0,,,true,false,false,1,false,false,pointer-referenced-code-run,unresolved
0x0001a870,5,10,0x0001a870,0x0001a879,0,1,0,,,true,false,false,1,false,false,pointer-referenced-code-run,unresolved
