command,semantic_name,host_methods,request_payload_length,request_layout,response_payload_length,response_layout,calling_tasks,capability_or_preconditions,result_handling,confidence,evidence
0x00,Inquiry,Inquiry,0,none,0,status-only,Task_SetupBaudrate_RV40F; Task_SetupBaudrate_RV40F2,after serial mode entry / baud transition,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x10,BlankCheck,BlankCheck,8,start_be32 || end_be32,0,status-only,Task_BlankCheck_RV40F; Task_Read_RV40F::_PartialRead,memory range selected,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x12,Erase,Erase,4,address_or_block_be32,0,status-only,Task_Erase_RV40F::_EraseAddress,erase target selected,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x13,Write,WriteCommand; WriteData,8 setup; variable data phase,start_be32 || end_be32; then raw data chunks under command 0x13,0 per setup/data ACK,status-only acknowledgements,Task_Write_RV40F,write range selected; chunk size 0x400 or 0x4000 by driver mode,setup and every data frame validated; AbortSendData on task abort/error path,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x14,ReadEX,ReadEX,8 setup,start_be32 || end_be32,variable data phase,0x81 data frames carrying command 0x14,Task_Read_RV40F; Task_ReadVerify_RV40F,extended-read path selected,setup ACK then data-frame validation/copy,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x15,Read,Read,8 setup,start_be32 || end_be32,variable data phase,0x81 data frames carrying command 0x15,Task_Read_RV40F; Task_ReadVerify_RV40F,read path selected,setup ACK then data-frame validation/copy,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x16,Verify,VerifyCommand; VerifyData,8 setup; variable data phase,start_be32 || end_be32; then raw verify chunks under command 0x16,0 per setup/data ACK,status-only acknowledgements,Task_Verify_RV40F,verify range selected,setup and every data frame validated; AbortSendData on task abort/error path,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x18,CheckCRC,CheckCRC,8,start_be32 || end_be32,4,crc_be32,Task_CheckSum_RV40F,CRC-capable checksum path,ProcessCommand exact-length response; BE32 decode,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x1C,ClearConfig,ClearConfig,0,none,0,status-only,Task_ClearConfig_RV40F,clear-config task selected,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x20,SetProtection,SetProtection,1,protection_byte,0,status-only,Task_Write_RV40F::_WriteConfig_RV40F; Task_WriteOption_RV40F::_WriteOptionRH850,option/config path exposes protection field,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x21,GetProtection,GetProtection,0,none,1,protection_byte,Task_ReadOption_RV40F; UtilityRV40F::ReadOptionMemory_RX64M,option/config path exposes protection field,ProcessCommand exact-length response,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x22,SetLockBit,SetLockBit,98,98-byte lock-bit option buffer,0,status-only,Task_WriteConfig_CCC; Task_WriteOption_RV40F,lock-bit option present,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x23,GetLockBit,GetLockBit,0,none,98,98-byte lock-bit option buffer,Task_ReadOption_RV40F; Task_VerifyConfig_CCC; Task_WriteOption_RV40F helper,lock-bit option present,ProcessCommand exact-length response,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x26,SetOptionByte,SetOptionByte; SetOptionByte_CCC; SetOptionByteEx,17|32,"selector_byte || option[16], or option[32]",0,status-only,Task_Write_RV40F::_WriteConfig_RV40F; Task_WriteOption_RV40F,layout selected from capability 0x1002 / 0x1109 and option mode,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x27,GetOptionByte,GetOptionByte; GetOptionByte_CCC; GetOptionByteEx,0|1,optional selector byte (including selectors 2/3 in extended path),16|32,option bytes,Task_ReadOption_RV40F; UtilityRV40F::ReadOptionMemory_RX64M,layout selected from capability 0x1002 / 0x1109 and option mode,ProcessCommand exact-length response,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
0x28,SetSerialProgrammingID,SetSerialProgrammingID,16|96,serial-programming ID bytes,0,status-only,Task_Write_RV40F::_WriteConfig_RV40F; Task_WriteOption_RV40F,option mode chooses short/long ID width,SendRecvFrame packet validation,verified,pinned libRFP.dylib ARM64 constructor/caller analysis
