entry_addr,body_bytes,name,name_source,is_thunk,calling_convention,caller_count,callee_count,root_kind,ram_ref_count,mmio_ref_count,codeflash_data_ref_count,string_ref_count,subsystem,evidence_grade
0x00000030,8,boot_default_exception_handler,DEFAULT,true,__interrupt,0,0,interrupt,0,0,0,0,boot,thunk
0x000001b0,66,boot_reset_startup,USER_DEFINED,false,__stdcall,0,0,,0,0,0,0,boot,annotated
0x000001f2,1360,boot_reset_startup,USER_DEFINED,false,__stdcall,0,1,,2,3,1,0,boot,annotated
0x00000748,12,boot_eiint_dispatch,USER_DEFINED,false,__stdcall,0,0,,0,0,0,0,boot,annotated
0x00000770,16,FUN_00000770,DEFAULT,false,__stdcall,1,2,,0,0,0,0,boot,recovered
0x00000780,12,bootloader_service_periodic,USER_DEFINED,false,__stdcall,1,1,,0,0,0,0,boot,annotated
0x0000078c,12,FUN_0000078c,DEFAULT,false,__stdcall,1,1,,0,0,0,0,boot,recovered
0x00000798,2,FUN_00000798,DEFAULT,false,__stdcall,1,0,,0,0,0,0,boot,recovered
0x0000079a,28,FUN_0000079a,DEFAULT,false,__stdcall,1,0,,0,0,0,0,boot,recovered
0x000007b6,76,FUN_000007b6,DEFAULT,false,__stdcall,1,0,,0,0,1,0,boot,recovered
0x00000802,126,FUN_00000802,DEFAULT,false,__stdcall,1,0,,0,0,1,0,boot,recovered
0x00000880,72,FUN_00000880,DEFAULT,false,__stdcall,1,0,,0,0,1,0,boot,recovered
0x000008c8,166,FUN_000008c8,DEFAULT,false,__stdcall,1,0,,0,0,1,0,boot,recovered
0x0000096e,740,FUN_0000096e,DEFAULT,false,__stdcall,1,0,,0,0,1,0,boot,recovered
0x00000c52,72,FUN_00000c52,DEFAULT,false,__stdcall,1,0,,0,0,1,0,boot,recovered
0x00000c9a,442,boot_peripheral_init,USER_DEFINED,false,__stdcall,1,0,,0,2,33,0,boot,annotated
0x00000e54,300,boot_key_mirror_init,USER_DEFINED,false,__stdcall,1,0,,18,5,0,0,boot,annotated
0x00000f80,324,boot_flash_sequencer_init,USER_DEFINED,false,__stdcall,1,0,,0,15,0,0,boot,annotated
0x000010c4,2,FUN_000010c4,DEFAULT,false,__stdcall,1,0,,0,0,0,0,boot,recovered
0x000010c6,148,boot_clock_init,USER_DEFINED,false,__stdcall,1,1,,0,4,0,0,boot,annotated
0x0000115a,68,boot_flash_status_check,USER_DEFINED,false,__stdcall,1,0,,0,3,1,0,boot,annotated
0x0000119e,104,boot_validity_check,USER_DEFINED,false,__stdcall,1,3,,0,0,2,0,boot,annotated
0x00001206,20,boot_failure_trap,USER_DEFINED,false,__stdcall,1,0,,0,0,0,0,boot,annotated
0x0000121a,14,FUN_0000121a,DEFAULT,false,__stdcall,1,0,,0,0,0,0,boot,recovered
0x00001228,272,FUN_00001228,DEFAULT,false,__stdcall,1,0,,0,18,0,0,boot,recovered
0x00001338,66,FUN_00001338,DEFAULT,false,__stdcall,1,12,,2,0,0,0,boot,recovered
0x0000137a,30,boot_failure_periodic,USER_DEFINED,false,__stdcall,1,4,,1,0,0,0,boot,annotated
0x00001398,24,boot_failure_main_loop,USER_DEFINED,false,__stdcall,2,3,,0,0,0,0,boot,annotated
0x000013b0,84,boot_application_handoff,USER_DEFINED,false,__stdcall,1,8,,3,0,1,0,boot,annotated
0x00001404,116,FUN_00001404,DEFAULT,false,__stdcall,1,8,,2,0,0,0,boot,recovered
0x00001478,22,FUN_00001478,DEFAULT,false,__stdcall,2,0,,0,0,0,0,boot,recovered
0x0000148e,20,FUN_0000148e,DEFAULT,false,__stdcall,1,2,,1,0,0,0,boot,recovered
0x000014a2,28,FUN_000014a2,DEFAULT,false,__stdcall,1,3,,1,0,0,0,boot,recovered
0x000014be,42,FUN_000014be,DEFAULT,false,__stdcall,1,2,,1,0,0,0,boot,recovered
0x00001514,22,FUN_00001514,DEFAULT,false,__stdcall,3,1,,1,0,0,0,boot,recovered
0x0000152a,16,FUN_0000152a,DEFAULT,false,__stdcall,2,2,,0,0,0,0,boot,recovered
0x0000153a,22,FUN_0000153a,DEFAULT,false,__stdcall,1,0,,0,0,0,0,boot,recovered
0x00001550,8,FUN_00001550,DEFAULT,false,__stdcall,1,0,,1,0,0,0,boot,recovered
