switch_addr,in_function,function_addr,table_base,bound_kind,bound_size,validate_ok,fail_reason
00005a28,Y,00005a04,00005a2a,cmp+bh,4,Y,
00018484,N,-,00018486,packed-case0,210,Y,
0001ab88,N,-,0001ab8a,,0,N,no-bound
0001abb0,N,-,0001abb2,,0,N,no-bound
0001abd8,N,-,0001abda,,0,N,no-bound
0001ac00,N,-,0001ac02,,0,N,no-bound
0001ac28,N,-,0001ac2a,,0,N,no-bound
0001acc8,N,-,0001acca,,0,N,no-bound
0001acf0,N,-,0001acf2,,0,N,no-bound
0001ad18,N,-,0001ad1a,,0,N,no-bound
0001ad40,N,-,0001ad42,,0,N,no-bound
0001ad68,N,-,0001ad6a,,0,N,no-bound
0001b26e,N,-,0001b270,,0,N,packed-case0:nested-switch
0001b312,N,-,0001b314,,0,N,packed-case0:nested-switch
0001b374,N,-,0001b376,packed-case0,48,Y,
0001b488,N,-,0001b48a,,0,N,no-bound
0001b4ac,N,-,0001b4ae,,0,N,no-bound
0001b4d0,N,-,0001b4d2,,0,N,no-bound
0001b4f4,N,-,0001b4f6,,0,N,no-bound
0001b518,N,-,0001b51a,,0,N,no-bound
0001b53c,N,-,0001b53e,,0,N,no-bound
0001b560,N,-,0001b562,,0,N,no-bound
0001b584,N,-,0001b586,,0,N,no-bound
0001b5cc,N,-,0001b5ce,,0,N,no-bound
0001b5f0,N,-,0001b5f2,,0,N,no-bound
0001b614,N,-,0001b616,,0,N,no-bound
0001b638,N,-,0001b63a,,0,N,no-bound
0001b65c,N,-,0001b65e,,0,N,no-bound
0001b680,N,-,0001b682,,0,N,no-bound
0001b6a4,N,-,0001b6a6,,0,N,no-bound
0001b6c8,N,-,0001b6ca,,0,N,no-bound
0001bc5e,N,-,0001bc60,,0,N,no-bound
0001bc82,N,-,0001bc84,,0,N,no-bound
0001bca6,N,-,0001bca8,,0,N,no-bound
0002161c,N,-,0002161e,packed-case0,122,Y,
0002196a,N,-,0002196c,,0,N,no-bound
0002b99a,N,-,0002b99c,,0,N,packed-case0:nested-switch
0002ba0a,N,-,0002ba0c,packed-case0,80,Y,
0003041c,N,-,0003041e,,0,N,no-bound
00033b8e,Y,00033b08,00033b90,cmp+bh,7,Y,
00039b60,Y,00039b38,00039b62,cmp+bh,4,Y,
0003b200,Y,0003b13a,0003b202,cmp+bh,6,Y,
0003bff8,Y,0003bfd8,0003bffa,addi+bc,54,Y,
00049010,Y,00049004,00049012,cmp+bh,4,Y,
00050b8e,Y,00050b6c,00050b90,cmp+bh,12,Y,
00056d88,Y,00056d74,00056d8a,cmp+bh,4,Y,
0005e948,Y,0005e938,0005e94a,cmp+bh,4,Y,
0008d606,Y,0008d5fc,0008d608,cmp+bh,12,Y,
00094736,Y,000946fa,00094738,cmp+bh,4,Y,
00096604,Y,000965ce,00096606,addi+bc,19,Y,
0009677a,Y,00096764,0009677c,addi+bc,19,Y,
000b0a20,Y,000b0a10,000b0a22,cmp+bh,4,Y,
000b1540,Y,000b152e,000b1542,cmp+bh,14,Y,
000b3b2e,Y,000b3aee,000b3b30,cmp+bh,6,Y,
000b52fc,Y,000b52da,000b52fe,cmp+bh,8,Y,
000b6d0c,Y,000b6cfe,000b6d0e,cmp+bh,5,Y,
000b72fc,Y,000b72ec,000b72fe,cmp+bh,7,Y,
000b7370,Y,000b7360,000b7372,cmp+bh,4,Y,
000cff44,N,-,000cff46,,0,N,no-bound
000cff6c,N,-,000cff6e,,0,N,no-bound
000cff94,N,-,000cff96,,0,N,no-bound
000cffbc,N,-,000cffbe,,0,N,no-bound
000cffe4,N,-,000cffe6,,0,N,no-bound
000d0084,N,-,000d0086,,0,N,no-bound
000d00ac,N,-,000d00ae,,0,N,no-bound
000d00d4,N,-,000d00d6,,0,N,no-bound
000d00fc,N,-,000d00fe,,0,N,no-bound
000d0124,N,-,000d0126,,0,N,no-bound
000d01c4,N,-,000d01c6,,0,N,no-bound
000d01ec,N,-,000d01ee,,0,N,no-bound
000d0214,N,-,000d0216,,0,N,no-bound
000d023c,N,-,000d023e,,0,N,no-bound
000d0264,N,-,000d0266,,0,N,no-bound
000d0304,N,-,000d0306,,0,N,no-bound
000d032c,N,-,000d032e,,0,N,no-bound
000d0354,N,-,000d0356,,0,N,no-bound
000d037c,N,-,000d037e,,0,N,no-bound
000d03a4,N,-,000d03a6,,0,N,no-bound
000d0444,N,-,000d0446,,0,N,no-bound
000d046c,N,-,000d046e,,0,N,no-bound
000d0494,N,-,000d0496,,0,N,no-bound
000d04bc,N,-,000d04be,,0,N,no-bound
000d04e4,N,-,000d04e6,,0,N,no-bound
000d0584,N,-,000d0586,,0,N,no-bound
000d05ac,N,-,000d05ae,,0,N,no-bound
000d05d4,N,-,000d05d6,,0,N,no-bound
000d05fc,N,-,000d05fe,,0,N,no-bound
000d0624,N,-,000d0626,,0,N,no-bound
000d06c4,N,-,000d06c6,,0,N,no-bound
000d06ec,N,-,000d06ee,,0,N,no-bound
000d0714,N,-,000d0716,,0,N,no-bound
000d073c,N,-,000d073e,,0,N,no-bound
000d0764,N,-,000d0766,,0,N,no-bound
000d0804,N,-,000d0806,,0,N,no-bound
000d082c,N,-,000d082e,,0,N,no-bound
000d0854,N,-,000d0856,,0,N,no-bound
000d087c,N,-,000d087e,,0,N,no-bound
000d08a4,N,-,000d08a6,,0,N,no-bound
000d0944,N,-,000d0946,,0,N,no-bound
000d096c,N,-,000d096e,,0,N,no-bound
000d0994,N,-,000d0996,,0,N,no-bound
000d09bc,N,-,000d09be,,0,N,no-bound
000d09e4,N,-,000d09e6,,0,N,no-bound
000d0a84,N,-,000d0a86,,0,N,no-bound
000d0aac,N,-,000d0aae,,0,N,no-bound
000d0ad4,N,-,000d0ad6,,0,N,no-bound
000d0afc,N,-,000d0afe,,0,N,no-bound
000d0b24,N,-,000d0b26,,0,N,no-bound
000d0bc4,N,-,000d0bc6,,0,N,no-bound
000d0bec,N,-,000d0bee,,0,N,no-bound
000d0c14,N,-,000d0c16,,0,N,no-bound
000d0c3c,N,-,000d0c3e,,0,N,no-bound
000d0c64,N,-,000d0c66,,0,N,no-bound
000d0d04,N,-,000d0d06,,0,N,no-bound
000d0d2c,N,-,000d0d2e,,0,N,no-bound
000d0d54,N,-,000d0d56,,0,N,no-bound
000d0d7c,N,-,000d0d7e,,0,N,no-bound
000d0da4,N,-,000d0da6,,0,N,no-bound
000d0e44,N,-,000d0e46,,0,N,no-bound
000d0e6c,N,-,000d0e6e,,0,N,no-bound
000d0e94,N,-,000d0e96,,0,N,no-bound
000d0ebc,N,-,000d0ebe,,0,N,no-bound
000d0ee4,N,-,000d0ee6,,0,N,no-bound
000d0f84,N,-,000d0f86,,0,N,no-bound
000d0fac,N,-,000d0fae,,0,N,no-bound
000d0fd4,N,-,000d0fd6,,0,N,no-bound
000d0ffc,N,-,000d0ffe,,0,N,no-bound
000d1024,N,-,000d1026,,0,N,no-bound
000d37ae,N,-,000d37b0,,0,N,packed-case0:nested-switch
000d37ca,N,-,000d37cc,,0,N,packed-case0:nested-switch
000d3802,N,-,000d3804,,0,N,packed-case0:nested-switch
000d381e,N,-,000d3820,,0,N,packed-case0:nested-switch
000d383a,N,-,000d383c,,0,N,packed-case0:nested-switch
000d3856,N,-,000d3858,,0,N,packed-case0:nested-switch
000d3872,N,-,000d3874,,0,N,packed-case0:nested-switch
000d388e,N,-,000d3890,,0,N,packed-case0:nested-switch
000d38aa,N,-,000d38ac,,0,N,packed-case0:nested-switch
000d38c6,N,-,000d38c8,,0,N,packed-case0:nested-switch
000d38e2,N,-,000d38e4,,0,N,packed-case0:nested-switch
000d38fe,N,-,000d3900,packed-case0,102,Y,
000d3d9c,N,-,000d3d9e,,0,N,no-bound
000d3dc0,N,-,000d3dc2,,0,N,no-bound
000d3de4,N,-,000d3de6,,0,N,no-bound
000d3e08,N,-,000d3e0a,,0,N,no-bound
000d3e2c,N,-,000d3e2e,,0,N,no-bound
000d3e50,N,-,000d3e52,,0,N,no-bound
000d3e74,N,-,000d3e76,,0,N,no-bound
000d3e98,N,-,000d3e9a,,0,N,no-bound
000d3ebc,N,-,000d3ebe,,0,N,no-bound
000d3ee0,N,-,000d3ee2,,0,N,no-bound
000d3f04,N,-,000d3f06,,0,N,no-bound
000d3f28,N,-,000d3f2a,,0,N,no-bound
000d3f4c,N,-,000d3f4e,,0,N,no-bound
000d3f70,N,-,000d3f72,,0,N,no-bound
000d3f94,N,-,000d3f96,,0,N,no-bound
000d3fb8,N,-,000d3fba,,0,N,no-bound
000d3fdc,N,-,000d3fde,,0,N,no-bound
000d4000,N,-,000d4002,,0,N,no-bound
000d4024,N,-,000d4026,,0,N,no-bound
000d4048,N,-,000d404a,,0,N,no-bound
000d406c,N,-,000d406e,,0,N,no-bound
000d4090,N,-,000d4092,,0,N,no-bound
000d40b4,N,-,000d40b6,,0,N,no-bound
000d40d8,N,-,000d40da,,0,N,no-bound
000d40fc,N,-,000d40fe,,0,N,no-bound
000d4120,N,-,000d4122,,0,N,no-bound
000d4144,N,-,000d4146,,0,N,no-bound
000d4168,N,-,000d416a,,0,N,no-bound
000d418c,N,-,000d418e,,0,N,no-bound
000d41b0,N,-,000d41b2,,0,N,no-bound
000d41d4,N,-,000d41d6,,0,N,no-bound
000d41f8,N,-,000d41fa,,0,N,no-bound
000d421c,N,-,000d421e,,0,N,no-bound
000d4240,N,-,000d4242,,0,N,no-bound
000d4264,N,-,000d4266,,0,N,no-bound
000d4288,N,-,000d428a,,0,N,no-bound
000d42ac,N,-,000d42ae,,0,N,no-bound
000d42d0,N,-,000d42d2,,0,N,no-bound
000d42f4,N,-,000d42f6,,0,N,no-bound
000d4318,N,-,000d431a,,0,N,no-bound
000d433c,N,-,000d433e,,0,N,no-bound
000d4360,N,-,000d4362,,0,N,no-bound
000d4384,N,-,000d4386,,0,N,no-bound
000d43a8,N,-,000d43aa,,0,N,no-bound
000d43cc,N,-,000d43ce,,0,N,no-bound
000d43f0,N,-,000d43f2,,0,N,no-bound
000d4414,N,-,000d4416,,0,N,no-bound
000d4438,N,-,000d443a,,0,N,no-bound
000d445c,N,-,000d445e,,0,N,no-bound
000d4480,N,-,000d4482,,0,N,no-bound
000d44a4,N,-,000d44a6,,0,N,no-bound
000d44c8,N,-,000d44ca,,0,N,no-bound
000d44ec,N,-,000d44ee,,0,N,no-bound
000d4510,N,-,000d4512,,0,N,no-bound
000d4534,N,-,000d4536,,0,N,no-bound
000d4558,N,-,000d455a,,0,N,no-bound
000d457c,N,-,000d457e,,0,N,no-bound
000d45a0,N,-,000d45a2,,0,N,no-bound
000d45c4,N,-,000d45c6,,0,N,no-bound
000d45e8,N,-,000d45ea,,0,N,no-bound
000d460c,N,-,000d460e,,0,N,no-bound
000d4630,N,-,000d4632,,0,N,no-bound
000d4654,N,-,000d4656,,0,N,no-bound
000d4678,N,-,000d467a,,0,N,no-bound
000d469c,N,-,000d469e,,0,N,no-bound
000d46c0,N,-,000d46c2,,0,N,no-bound
000d46e4,N,-,000d46e6,,0,N,no-bound
000d4708,N,-,000d470a,,0,N,no-bound
000d472c,N,-,000d472e,,0,N,no-bound
000d4750,N,-,000d4752,,0,N,no-bound
000d4774,N,-,000d4776,,0,N,no-bound
000d4798,N,-,000d479a,,0,N,no-bound
000d47bc,N,-,000d47be,,0,N,no-bound
000d47e0,N,-,000d47e2,,0,N,no-bound
000d4804,N,-,000d4806,,0,N,no-bound
000d4828,N,-,000d482a,,0,N,no-bound
000d484c,N,-,000d484e,,0,N,no-bound
