address,provenance,note
0x0003738C,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00044C86,data/generated/corolla_8965H1202000_lta_command_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00044CFC,data/generated/corolla_8965H1202000_lta_command_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0004636A,data/generated/corolla_8965H1202000_lta_command_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00046A10,data/generated/corolla_8965H1202000_lta_command_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00046C4C,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00046D9A,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00046E0C,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00046E62,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00046E96,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x000470C6,data/generated/corolla_8965H1202000_cooperative_authority_wire_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00047188,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x000472E0,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00047430,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0004749A,data/generated/corolla_8965H1202000_cooperative_authority_wire_decompiler_evidence.json;data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x000475D0,data/generated/corolla_8965H1202000_cooperative_authority_wire_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0004766A,data/generated/corolla_8965H1202000_cooperative_authority_wire_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00047ADA,data/generated/corolla_8965H1202000_cooperative_authority_wire_decompiler_evidence.json;data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00047BA2,data/generated/corolla_8965H1202000_cooperative_authority_wire_decompiler_evidence.json;data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0004B692,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0004B780,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0004B7AA,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0004B7D4,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0004B836,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0004B880,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0004B8D2,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0004B930,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0004B9AE,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0005262C,data/generated/corolla_8965H1202000_cooperative_authority_wire_decompiler_evidence.json;data/generated/corolla_8965H1202000_lta_command_provenance_decompiler_evidence.json;data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00062430,data/generated/corolla_8965H1202000_b6_secoc_verification_decompiler_evidence.json;data/generated/corolla_8965H1202000_secoc_key_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00062574,data/generated/corolla_8965H1202000_secoc_key_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x000625DE,data/generated/corolla_8965H1202000_secoc_key_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0006314E,data/generated/corolla_8965H1202000_secoc_key_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0006387C,data/generated/corolla_8965H1202000_openpilot_state_bridge_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0007636C,data/generated/corolla_8965H1202000_lta_command_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0007643A,data/generated/corolla_8965H1202000_lta_command_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00077A3A,data/generated/corolla_8965H1202000_lta_command_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x0007AFB6,data/generated/corolla_8965H1202000_b6_full_receiver_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00081262,data/generated/corolla_8965H1202000_secoc_key_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x000812E8,data/generated/corolla_8965H1202000_secoc_key_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x000822D0,data/generated/corolla_8965H1202000_b6_secoc_verification_decompiler_evidence.json;data/generated/corolla_8965H1202000_secoc_key_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
0x00082956,data/generated/corolla_8965H1202000_b6_secoc_verification_decompiler_evidence.json;data/generated/corolla_8965H1202000_secoc_key_provenance_decompiler_evidence.json,exact-H function; transfers to F through verified byte-identical application
